Original Pruning Rate,Deterministic performance,Soup then Prune accuracy,Prune then Soup accuracy,Original with new pruning rate,New pruning rate,Dense soup then prune,Dense original
0.8,90.05,93.24,94.28,95.42,0.28941401839256287,95.36,95.4
0.8,90.05,92.97,94.2,95.42,0.28941652178764343,95.33,95.4
0.8,90.05,93.02,94.19,95.41,0.289571076631546,95.22,95.4
0.8,90.05,92.71,94.17,95.42,0.28935495018959045,95.16,95.4
0.8,90.05,93.02,94.26,95.42,0.28919553756713867,95.35,95.4
0.8,90.05,92.92,94.38,95.41,0.2895401120185852,95.19,95.4
0.8,90.05,93.11,94.07,95.41,0.28966692090034485,95.37,95.4
0.8,90.05,93.22,94.23,95.42,0.2893352508544922,95.3,95.4
0.8,90.05,92.67,94.36,95.41,0.28955888748168945,95.18,95.4
0.8,90.05,93.28,94.32,95.41,0.289523720741272,95.25,95.4
