Epsilon,Population,Type,Pruning Rate,sigma
0.010000000000005116,10,Stochastic GMP,0.5,0.001
-0.010000000000005116,10,Stochastic GMP,0.5,0.001
-0.01999999999999602,10,Stochastic GMP,0.5,0.001
0.03999999999999204,10,Stochastic GMP,0.5,0.001
0.010000000000005116,10,Stochastic GMP,0.5,0.001
-0.04999999999999716,10,Stochastic GMP,0.5,0.001
0.03999999999999204,10,Stochastic GMP,0.5,0.001
0.01999999999999602,10,Stochastic GMP,0.5,0.001
0.030000000000001137,10,Stochastic GMP,0.5,0.001
0.0,10,Stochastic GMP,0.5,0.001
0.03999999999999204,10,Sto. mask original weights,0.5,0.001
0.06999999999999318,10,Sto. mask original weights,0.5,0.001
0.060000000000002274,10,Sto. mask original weights,0.5,0.001
0.0799999999999983,10,Sto. mask original weights,0.5,0.001
0.0799999999999983,10,Sto. mask original weights,0.5,0.001
0.03999999999999204,10,Sto. mask original weights,0.5,0.001
0.030000000000001137,10,Sto. mask original weights,0.5,0.001
0.03999999999999204,10,Sto. mask original weights,0.5,0.001
0.06999999999999318,10,Sto. mask original weights,0.5,0.001
0.06999999999999318,10,Sto. mask original weights,0.5,0.001
-0.010000000000005116,10,Det. mask sto. weights,0.5,0.001
-0.01999999999999602,10,Det. mask sto. weights,0.5,0.001
0.0,10,Det. mask sto. weights,0.5,0.001
0.010000000000005116,10,Det. mask sto. weights,0.5,0.001
-0.010000000000005116,10,Det. mask sto. weights,0.5,0.001
-0.030000000000001137,10,Det. mask sto. weights,0.5,0.001
0.0,10,Det. mask sto. weights,0.5,0.001
0.0,10,Det. mask sto. weights,0.5,0.001
0.0,10,Det. mask sto. weights,0.5,0.001
-0.010000000000005116,10,Det. mask sto. weights,0.5,0.001
26.010000000000005,10,Stochastic GMP,0.8,0.001
25.319999999999993,10,Stochastic GMP,0.8,0.001
25.730000000000004,10,Stochastic GMP,0.8,0.001
25.83,10,Stochastic GMP,0.8,0.001
26.659999999999997,10,Stochastic GMP,0.8,0.001
25.17,10,Stochastic GMP,0.8,0.001
25.789999999999992,10,Stochastic GMP,0.8,0.001
26.25,10,Stochastic GMP,0.8,0.001
25.879999999999995,10,Stochastic GMP,0.8,0.001
24.539999999999992,10,Stochastic GMP,0.8,0.001
35.449999999999996,10,Sto. mask original weights,0.8,0.001
34.92,10,Sto. mask original weights,0.8,0.001
35.699999999999996,10,Sto. mask original weights,0.8,0.001
35.089999999999996,10,Sto. mask original weights,0.8,0.001
36.26,10,Sto. mask original weights,0.8,0.001
34.53,10,Sto. mask original weights,0.8,0.001
35.42,10,Sto. mask original weights,0.8,0.001
36.69,10,Sto. mask original weights,0.8,0.001
35.55,10,Sto. mask original weights,0.8,0.001
34.78999999999999,10,Sto. mask original weights,0.8,0.001
25.11,10,Det. mask sto. weights,0.8,0.001
24.760000000000005,10,Det. mask sto. weights,0.8,0.001
24.870000000000005,10,Det. mask sto. weights,0.8,0.001
25.409999999999997,10,Det. mask sto. weights,0.8,0.001
25.17,10,Det. mask sto. weights,0.8,0.001
24.909999999999997,10,Det. mask sto. weights,0.8,0.001
25.11,10,Det. mask sto. weights,0.8,0.001
24.450000000000003,10,Det. mask sto. weights,0.8,0.001
24.909999999999997,10,Det. mask sto. weights,0.8,0.001
24.730000000000004,10,Det. mask sto. weights,0.8,0.001
75.38,10,Stochastic GMP,0.9,0.001
74.93,10,Stochastic GMP,0.9,0.001
75.7,10,Stochastic GMP,0.9,0.001
73.78,10,Stochastic GMP,0.9,0.001
75.07,10,Stochastic GMP,0.9,0.001
74.74,10,Stochastic GMP,0.9,0.001
75.11,10,Stochastic GMP,0.9,0.001
75.87,10,Stochastic GMP,0.9,0.001
75.89,10,Stochastic GMP,0.9,0.001
75.91,10,Stochastic GMP,0.9,0.001
76.68,10,Sto. mask original weights,0.9,0.001
76.75,10,Sto. mask original weights,0.9,0.001
77.31,10,Sto. mask original weights,0.9,0.001
75.42,10,Sto. mask original weights,0.9,0.001
76.78999999999999,10,Sto. mask original weights,0.9,0.001
76.52,10,Sto. mask original weights,0.9,0.001
76.7,10,Sto. mask original weights,0.9,0.001
77.2,10,Sto. mask original weights,0.9,0.001
77.3,10,Sto. mask original weights,0.9,0.001
77.15,10,Sto. mask original weights,0.9,0.001
75.24,10,Det. mask sto. weights,0.9,0.001
74.68,10,Det. mask sto. weights,0.9,0.001
74.83,10,Det. mask sto. weights,0.9,0.001
75.08,10,Det. mask sto. weights,0.9,0.001
74.89,10,Det. mask sto. weights,0.9,0.001
74.62,10,Det. mask sto. weights,0.9,0.001
74.75,10,Det. mask sto. weights,0.9,0.001
75.19,10,Det. mask sto. weights,0.9,0.001
75.00999999999999,10,Det. mask sto. weights,0.9,0.001
75.02,10,Det. mask sto. weights,0.9,0.001
0.0,10,Stochastic GMP,0.5,0.003
-0.01999999999999602,10,Stochastic GMP,0.5,0.003
0.0,10,Stochastic GMP,0.5,0.003
0.0,10,Stochastic GMP,0.5,0.003
0.060000000000002274,10,Stochastic GMP,0.5,0.003
-0.030000000000001137,10,Stochastic GMP,0.5,0.003
0.0,10,Stochastic GMP,0.5,0.003
0.060000000000002274,10,Stochastic GMP,0.5,0.003
-0.030000000000001137,10,Stochastic GMP,0.5,0.003
0.0799999999999983,10,Stochastic GMP,0.5,0.003
4.219999999999999,10,Sto. mask original weights,0.5,0.003
4.010000000000005,10,Sto. mask original weights,0.5,0.003
3.819999999999993,10,Sto. mask original weights,0.5,0.003
4.280000000000001,10,Sto. mask original weights,0.5,0.003
4.030000000000001,10,Sto. mask original weights,0.5,0.003
3.819999999999993,10,Sto. mask original weights,0.5,0.003
3.989999999999995,10,Sto. mask original weights,0.5,0.003
4.289999999999992,10,Sto. mask original weights,0.5,0.003
4.260000000000005,10,Sto. mask original weights,0.5,0.003
3.8900000000000006,10,Sto. mask original weights,0.5,0.003
0.0,10,Det. mask sto. weights,0.5,0.003
0.03999999999999204,10,Det. mask sto. weights,0.5,0.003
0.0,10,Det. mask sto. weights,0.5,0.003
0.03999999999999204,10,Det. mask sto. weights,0.5,0.003
0.01999999999999602,10,Det. mask sto. weights,0.5,0.003
0.03999999999999204,10,Det. mask sto. weights,0.5,0.003
0.010000000000005116,10,Det. mask sto. weights,0.5,0.003
-0.01999999999999602,10,Det. mask sto. weights,0.5,0.003
0.01999999999999602,10,Det. mask sto. weights,0.5,0.003
0.01999999999999602,10,Det. mask sto. weights,0.5,0.003
30.17,10,Stochastic GMP,0.8,0.003
31.769999999999996,10,Stochastic GMP,0.8,0.003
31.39,10,Stochastic GMP,0.8,0.003
32.0,10,Stochastic GMP,0.8,0.003
27.379999999999995,10,Stochastic GMP,0.8,0.003
27.260000000000005,10,Stochastic GMP,0.8,0.003
27.909999999999997,10,Stochastic GMP,0.8,0.003
28.819999999999993,10,Stochastic GMP,0.8,0.003
29.679999999999993,10,Stochastic GMP,0.8,0.003
26.689999999999998,10,Stochastic GMP,0.8,0.003
74.27,10,Sto. mask original weights,0.8,0.003
75.21,10,Sto. mask original weights,0.8,0.003
73.9,10,Sto. mask original weights,0.8,0.003
74.59,10,Sto. mask original weights,0.8,0.003
75.27,10,Sto. mask original weights,0.8,0.003
